                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.5173,                 1.3765,                 1.0266,                0.28279,                0.03738,                0.02984,                0.01019,                    nan,                    nan,                    nan,              0.0089506,              0.0089506,              0.0089506
                     55,                 3.0165,                 1.4859,                 1.1115,                0.30724,                0.01869,                0.01152,                0.00464,                    nan,                    nan,                    nan,              0.0089308,              0.0089308,              0.0089308
                     56,                  2.596,                 1.3868,                 1.0737,                0.00862,                0.03738,                0.00882,                0.00217,                    nan,                    nan,                    nan,               0.008911,               0.008911,               0.008911
                     57,                 2.8328,                 1.4204,                 1.1638,                0.25616,                0.00935,                0.00729,                0.00208,                    nan,                    nan,                    nan,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.6965,                 1.6561,                 1.1526,                0.11354,                0.01869,                0.00706,                0.00235,                    nan,                    nan,                    nan,              0.0088714,              0.0088714,              0.0088714
                     59,                 2.3495,                 1.3622,                 1.0607,                0.39646,                0.04317,                0.04321,                0.00922,                    nan,                    nan,                    nan,              0.0088516,              0.0088516,              0.0088516
                     60,                  2.706,                 1.5536,                  1.089,                0.36031,                0.05278,                0.02791,                0.00644,                    nan,                    nan,                    nan,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.6876,                 1.4944,                 1.0982,                 0.2609,                0.03738,                0.02858,                0.00695,                    nan,                    nan,                    nan,               0.008812,               0.008812,               0.008812
                     62,                 2.7845,                 1.6234,                 1.0561,                0.43692,                0.01869,                0.02194,                0.00517,                    nan,                    nan,                    nan,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.6778,                 1.5034,                 1.1477,                0.36703,                0.06542,                 0.0425,                0.00916,                    nan,                    nan,                    nan,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.3428,                 1.3523,                 1.0913,                0.22081,                0.05607,                0.02503,                0.00636,                    nan,                    nan,                    nan,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.4982,                  1.399,                 1.0776,                0.10735,                0.03938,                 0.0278,                0.00872,                    nan,                    nan,                    nan,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.5671,                 1.5145,                 1.0903,                0.06252,                0.02804,                0.00527,                0.00112,                    nan,                    nan,                    nan,               0.008713,               0.008713,               0.008713
                     67,                 2.6319,                 1.3881,                 1.0489,                0.06027,                0.03738,                0.00812,                0.00207,                    nan,                    nan,                    nan,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.7984,                 1.5475,                 1.0626,                0.08918,                0.03738,                0.00802,                0.00157,                    nan,                    nan,                    nan,              0.0086734,              0.0086734,              0.0086734
