                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 2.4191,                 1.3151,                 1.0641,                0.47614,                0.04673,                0.04342,                0.01494,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                 2.5227,                 1.3381,                0.99788,                0.46733,                0.03738,                0.03259,                0.00707,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                 2.5842,                 1.3533,                0.97793,                0.62729,                0.03738,                0.05381,                0.01274,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 2.3111,                  1.261,                0.98193,                0.68009,                0.05984,                0.06958,                0.01819,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                 2.4237,                 1.3254,                0.98384,                0.51872,                0.05607,                0.06202,                0.02064,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                 2.5494,                 1.4172,                  1.029,                0.77354,                0.06542,                 0.0742,                0.01461,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                 2.2929,                 1.2454,                 1.0117,                0.52086,                0.06542,                0.06625,                0.02204,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 2.6529,                 1.3498,                 1.0496,                0.61391,                0.06542,                 0.0683,                0.02114,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     58,                 2.3456,                 1.4571,                 1.0399,                0.69321,                0.06542,                0.07588,                0.02171,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     59,                  2.131,                 1.2458,                0.98493,                0.71331,                0.05607,                0.07499,                0.02311,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     60,                 2.2543,                 1.3283,                0.99761,                  0.636,                 0.0492,                0.06858,                0.03439,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                 2.3224,                 1.2517,                0.99889,                0.67647,                0.05882,                0.08963,                0.02918,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     62,                 2.2796,                 1.2737,                0.95397,                0.50891,                0.03738,                0.07075,                0.02607,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                 2.2002,                 1.2501,                 1.0368,                0.72595,                0.07477,                0.08862,                0.03292,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     64,                 2.1644,                 1.1589,                 1.0346,                0.56166,                0.04673,                0.06805,                0.02546,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     65,                 2.2001,                 1.2455,                0.97924,                0.73888,                0.04673,                0.08339,                0.02776,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                     66,                  2.177,                 1.3021,                 1.0059,                0.72866,                0.05049,                0.08304,                0.02498,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     67,                 2.0573,                  1.086,                0.94502,                0.65812,                0.06542,                0.07988,                0.02903,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                     68,                 2.2027,                 1.2171,                0.98418,                0.63264,                0.06542,                0.07836,                0.03258,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                     69,                 2.1079,                 1.1342,                 1.0074,                0.72558,                0.07419,                0.09441,                0.03452,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
