               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,             0.02963,           0.0050832,                   0,             0.97076,                   1,             0.99029,               0.671,            0.025273,           0.0034865,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.030092,           0.0054125,                   0,             0.96059,             0.96262,             0.99033,             0.58191,            0.024286,           0.0034122,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028588,           0.0060041,                   0,             0.99074,             0.99992,             0.99481,             0.63622,            0.023668,           0.0035273,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.028854,           0.0051668,                   0,                   1,             0.99817,               0.995,              0.7384,            0.019747,           0.0034101,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026509,           0.0048286,                   0,             0.99911,                   1,               0.995,             0.71555,            0.021156,           0.0033481,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.031343,           0.0055246,                   0,             0.99909,                   1,               0.995,             0.65586,            0.022692,            0.003354,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.027411,           0.0055092,                   0,             0.99918,                   1,               0.995,             0.60124,            0.021836,           0.0033394,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02745,           0.0052625,                   0,             0.99845,                   1,               0.995,             0.72541,            0.022735,           0.0032384,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.028699,           0.0059198,                   0,             0.99918,                   1,               0.995,             0.77181,            0.020016,           0.0033488,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02682,            0.005077,                   0,             0.99937,                   1,               0.995,             0.69905,            0.022296,           0.0032019,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,             0.02478,           0.0051145,                   0,             0.99943,                   1,               0.995,             0.77078,            0.022177,           0.0032704,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.026925,           0.0053596,                   0,             0.98871,                   1,               0.995,             0.70772,            0.021985,           0.0032291,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,            0.028818,           0.0050215,                   0,             0.98888,                   1,               0.995,             0.79839,            0.020684,           0.0031174,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.026898,           0.0047986,                   0,             0.98999,                   1,               0.995,             0.64986,            0.025449,           0.0032252,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.026069,           0.0054083,                   0,             0.99073,             0.99929,               0.995,             0.71309,            0.025217,           0.0030756,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027638,           0.0045996,                   0,                   1,             0.99862,               0.995,             0.65937,            0.023995,           0.0031204,                   0,            0.007426,            0.007426,            0.007426
                 132,            0.027908,           0.0046018,                   0,                   1,             0.99898,               0.995,             0.73781,            0.019161,           0.0031657,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,            0.026791,           0.0054347,                   0,             0.99969,                   1,               0.995,             0.70043,            0.024471,           0.0031527,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,            0.026262,           0.0048046,                   0,             0.99938,                   1,               0.995,             0.69489,            0.023506,           0.0031971,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.025279,           0.0050609,                   0,             0.99919,                   1,               0.995,             0.63121,            0.023462,           0.0031788,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027322,           0.0045473,                   0,             0.99906,                   1,               0.995,             0.77904,               0.019,           0.0030807,                   0,            0.007327,            0.007327,            0.007327
                 137,             0.02835,           0.0043423,                   0,             0.99903,                   1,               0.995,             0.55878,            0.025719,           0.0033079,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.026379,           0.0052784,                   0,               0.999,                   1,               0.995,             0.70242,            0.022167,           0.0031844,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027046,           0.0046544,                   0,             0.99888,                   1,               0.995,             0.73881,            0.021321,           0.0032068,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,            0.025371,           0.0047528,                   0,              0.9998,                   1,               0.995,             0.79683,            0.020189,           0.0031271,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028081,           0.0050213,                   0,             0.99941,                   1,               0.995,             0.70888,            0.023718,           0.0031896,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.027036,           0.0045025,                   0,             0.99921,                   1,               0.995,             0.65838,            0.024177,           0.0031659,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.026529,           0.0047942,                   0,             0.99909,                   1,               0.995,             0.64615,            0.021179,           0.0031487,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027126,           0.0045658,                   0,             0.99909,                   1,               0.995,             0.72973,            0.022218,           0.0030749,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.027426,           0.0050578,                   0,              0.9985,                   1,               0.995,             0.77223,            0.018087,           0.0031577,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.023658,           0.0045856,                   0,             0.99894,                   1,               0.995,             0.71667,            0.021808,           0.0031841,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.024105,           0.0044235,                   0,             0.99899,                   1,               0.995,              0.8096,            0.018377,           0.0030416,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.023564,           0.0046959,                   0,                   1,             0.99815,               0.995,             0.77807,            0.018066,           0.0030175,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026398,           0.0049232,                   0,             0.98885,                   1,               0.995,             0.74233,            0.021838,           0.0030406,                   0,           0.0070696,           0.0070696,           0.0070696
