                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.8347,                 1.4314,                 1.0454,                0.55438,                0.71963,                0.64691,                0.22938,                 2.4067,                 1.8343,                0.97832,              0.0090892,              0.0090892,              0.0090892
                     48,                 2.2728,                 1.1011,                 1.0214,                0.57619,                0.73832,                0.62516,                0.21229,                  2.457,                 1.8924,                 0.9734,              0.0090694,              0.0090694,              0.0090694
                     49,                 2.7138,                 1.3568,                 1.0509,                0.38481,                0.49692,                 0.3285,                0.08045,                 3.1155,                 1.4156,                  1.109,              0.0090496,              0.0090496,              0.0090496
                     50,                 2.5241,                 1.3087,                 1.0779,                0.52663,                0.38318,                0.33095,                0.07492,                 3.2773,                 2.8671,                 1.2506,              0.0090298,              0.0090298,              0.0090298
                     51,                 2.4536,                 1.2635,                 1.0008,                0.51176,                 0.5486,                0.37388,                0.08919,                 3.0713,                 3.1345,                 1.2661,                0.00901,                0.00901,                0.00901
                     52,                 2.3098,                 1.1179,                 1.0248,                0.57874,                0.60347,                0.52842,                0.15186,                 2.7168,                 1.9084,                  1.077,              0.0089902,              0.0089902,              0.0089902
                     53,                 2.4719,                  1.291,                0.97591,                0.54077,                0.71028,                0.49951,                0.12577,                  2.603,                 1.8623,                 1.0576,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.6432,                 1.2864,                 1.0149,                0.51321,                0.59813,                0.52591,                0.11645,                 2.8813,                 3.0679,                   1.03,              0.0089506,              0.0089506,              0.0089506
                     55,                 2.6024,                 1.2606,                 1.0498,                0.46714,                0.52336,                0.39426,                0.09061,                 3.0134,                 1.5469,                 1.0633,              0.0089308,              0.0089308,              0.0089308
                     56,                 2.7307,                 1.2798,                 1.0659,                0.46914,                0.54206,                0.45385,                0.14755,                 2.8453,                  1.636,                 1.0866,               0.008911,               0.008911,               0.008911
                     57,                 2.8754,                 1.4261,                 1.1246,                0.39974,                0.48598,                0.33468,                0.09881,                 2.6428,                 1.6514,                 1.1041,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.5434,                  1.248,                0.99991,                0.38372,                0.39252,                0.23348,                0.06607,                 3.1784,                 2.0577,                 1.2055,              0.0088714,              0.0088714,              0.0088714
                     59,                  2.615,                 1.2308,                  1.106,                0.38216,                0.27103,                0.22985,                0.07044,                 3.0063,                 2.5119,                 1.1399,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.5894,                 1.2503,                 1.0317,                0.35452,                0.37986,                  0.256,                0.07257,                 2.7146,                 2.2034,                 1.0395,              0.0088318,              0.0088318,              0.0088318
                     61,                 2.6009,                 1.3131,                 1.0258,                 0.3009,                0.15888,                0.10541,                0.03211,                 2.8152,                 3.0107,                 1.1579,               0.008812,               0.008812,               0.008812
                     62,                 2.3973,                 1.2446,                0.98552,                0.28543,                0.14019,                0.10772,                0.02524,                  3.149,                 3.0699,                 1.2166,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.3321,                 1.2565,                  1.013,                0.06734,                0.18692,                0.07522,                0.02378,                 3.3548,                 4.5054,                 1.2629,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.5265,                 1.2251,                 1.0145,                0.06314,                0.40187,                0.11586,                0.02601,                 3.4996,                 3.2671,                 1.2447,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.3581,                 1.1175,                 1.0053,                0.61624,                0.65421,                0.61786,                0.22995,                 2.1807,                 1.5453,                 1.0067,              0.0087328,              0.0087328,              0.0087328
                     66,                 2.4629,                 1.1573,                 1.0329,                0.67669,                0.62595,                0.59008,                0.17519,                 2.4788,                 1.7154,                 1.0237,               0.008713,               0.008713,               0.008713
                     67,                 2.5085,                 1.1621,                0.98484,                0.53722,                0.57009,                0.55392,                0.19383,                 2.2847,                 1.7602,                0.99409,              0.0086932,              0.0086932,              0.0086932
                     68,                 2.5106,                 1.1978,                 1.0478,                0.67386,                0.57944,                0.63459,                0.22088,                 2.2314,                 1.4452,                0.96281,              0.0086734,              0.0086734,              0.0086734
                     69,                 2.5926,                 1.2068,                 1.0805,                0.62927,                0.65041,                0.60975,                0.22161,                 2.3073,                 1.4148,                 0.9579,              0.0086536,              0.0086536,              0.0086536
                     70,                 2.7054,                 1.3362,                 1.0063,                0.51574,                0.49533,                0.46491,                0.15963,                 2.6026,                 1.7754,                 1.0741,              0.0086338,              0.0086338,              0.0086338
                     71,                 2.4051,                 1.2393,                0.99445,                0.52799,                0.26168,                 0.2441,                0.09182,                 2.6341,                 3.6679,                 1.1133,               0.008614,               0.008614,               0.008614
                     72,                 2.3322,                 1.1934,                 1.0774,                0.66057,                0.61682,                0.65153,                 0.2325,                 2.5158,                 1.4083,                 1.0721,              0.0085942,              0.0085942,              0.0085942
                     73,                 2.5478,                 1.2977,                 1.0006,                0.62811,                0.47664,                0.50526,                0.14724,                 2.6893,                 1.7504,                 1.0941,              0.0085744,              0.0085744,              0.0085744
                     74,                  2.559,                 1.2547,                 1.0829,                0.42688,                0.43856,                0.31855,                0.07585,                 3.0326,                 1.9097,                 1.1361,              0.0085546,              0.0085546,              0.0085546
                     75,                 2.4377,                 1.2002,                0.96999,                0.69968,                0.56614,                0.63344,                0.14717,                 2.8244,                 1.4435,                 1.1365,              0.0085348,              0.0085348,              0.0085348
                     76,                 2.4059,                 1.1605,                0.96296,                 0.6125,                0.57944,                0.57915,                0.21433,                 2.4797,                 1.3842,                 1.0839,               0.008515,               0.008515,               0.008515
                     77,                 2.2444,                 1.0804,                  1.035,                0.64342,                0.53271,                0.62382,                0.20466,                 2.5936,                  1.314,                 1.0315,              0.0084952,              0.0084952,              0.0084952
                     78,                 2.2778,                 1.2152,                0.99302,                0.48759,                0.62617,                0.54746,                0.19713,                  2.388,                 1.3777,                0.98755,              0.0084754,              0.0084754,              0.0084754
                     79,                 2.3253,                 1.1912,                 1.0767,                0.70548,                0.64923,                0.71592,                0.28664,                 2.2249,                 1.2211,                0.97447,              0.0084556,              0.0084556,              0.0084556
                     80,                 2.5359,                 1.1056,                   1.03,                0.46879,                0.42991,                0.41507,                0.13755,                 2.6447,                 1.9132,                 1.0591,              0.0084358,              0.0084358,              0.0084358
                     81,                  2.301,                 1.1299,                 0.9936,                0.56209,                 0.5514,                0.51971,                0.15146,                 2.6075,                 1.4216,                 1.0153,               0.008416,               0.008416,               0.008416
                     82,                 2.3019,                   1.06,                0.97904,                 0.6306,                  0.702,                0.63385,                0.21594,                 2.3751,                 1.3322,                0.98204,              0.0083962,              0.0083962,              0.0083962
                     83,                 2.4084,                 1.1523,                0.98875,                 0.5337,                0.68224,                0.56804,                0.18096,                 2.5814,                 1.2506,                0.99711,              0.0083764,              0.0083764,              0.0083764
